date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:57	18363/18363	---M--	200	added ('OK')	text/html	etag:%22e70ab8-47bb-6b2f7040%22	http://www.aulaclic.es/sql/index.htm	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/index.htm	(from )
00:47:57	392/392	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202011%2006:50:03%20GMT	http://www.aulaclic.es/robots.txt		(from )
00:47:58	2641/2641	---M--	200	added ('OK')	text/css	etag:%22e70aa6-a51-8748300%22	http://www.aulaclic.es/sql/estilo_sinf_osc.css	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/estilo_sinf_osc.css	(from )
00:47:59	21883/21883	---M--	200	added ('OK')	text/html	etag:%22e70ad0-557b-6dde1580%22	http://www.aulaclic.es/sql/t_1_1.htm	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/t_1_1.htm	(from )
00:47:59	9676/9676	---M--	200	added ('OK')	application/x-javascript	etag:%22e4c947-25cc-423fd780%22	http://www.aulaclic.es/js/sqlmenu_osc.js	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/js/sqlmenu_osc.js	(from )
00:48:00	20482/20482	---M--	200	added ('OK')	application/x-javascript	etag:%22e4c74f-5002-1b40b00%22	http://www.aulaclic.es/js/menu8_com.js	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/js/menu8_com.js	(from )
00:48:00	3250/3250	---M--	200	added ('OK')	image/gif	etag:%22e8c137-cb2-65483000%22	http://www.aulaclic.es/sql/comunes/logo_ac1_50.gif	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/comunes/logo_ac1_50.gif	(from )
00:48:01	400/400	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202011%2006:50:07%20GMT	http://www.aulaclic.es/sql/Página%20inicial	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/Página%20inicial.6.delayed	(from )
00:48:01	216/216	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202011%2006:48:01%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/pagead2.googlesyndication.com/pagead/show_ads.7.delayed	(from )
00:48:02	324/324	---M--	200	added ('OK')	image/gif	etag:%22e8c13c-144-61b4a900%22	http://www.aulaclic.es/sql/comunes/orangeBall.gif	C:/My%20Web%20Sites/AulaClic%20Curso%20de%20SQL/www.aulaclic.es/sql/comunes/orangeBall.gif	(from )
